signal_date,n,ic,rank_ic
20260209,5352,-0.12990107296212858,-0.08297806741768879
20260210,5357,0.01176219510428578,0.02938400602605495
20260211,5358,0.05998501112541863,0.07357226813300818
20260212,5364,0.04621130653814144,0.10680908250895736
20260213,5367,0.08526255613643258,0.14729526150802338
20260224,5370,-0.103547973011608,-0.08179635516256833
20260225,5370,0.011992629287267152,0.034233220408681334
20260226,5372,-0.020500121238838234,-0.0017131235706278134
20260227,5373,-0.02127436948008353,-0.08339520786237645
20260302,5375,-0.18675344387571985,-0.17282096878936662
20260303,5376,0.17500761092968803,0.1909188867213392
20260304,5381,0.03550130224195987,0.06127136821461413
20260305,5382,-0.061326840846853296,-0.06758177265926966
20260306,5384,-0.13586079742206267,-0.2128729072589925
20260309,5390,0.15930667940122323,0.22328982611388587
20260310,5390,0.04692875352954396,0.10365337335247736
20260311,5395,-0.12599164129967072,-0.17995787512587436
20260312,5397,-0.0961474237509231,-0.12740758274722416
20260313,5397,-0.017026239741803288,-0.0112901694750376
20260316,5397,-0.12629371310755205,-0.11703892523376824
20260317,5396,0.1641911763465816,0.24614634635636462
20260318,5398,-0.11128658610424026,-0.17737105777637213
20260319,5400,-0.0033892394321408245,0.005884117209922814
20260320,5405,-0.13694281459981178,-0.1648007913105387
20260323,5408,0.15581575110653195,0.2313806856081302
20260324,5408,-0.014280919540513484,-0.008369521623918139
20260325,5408,-0.016752109957683035,-0.003744113618500449
20260326,5409,-0.05854883947453247,-0.038112157809824375
20260327,5406,-0.09180933529139507,-0.16210649862479853
20260330,5405,-0.09618340074331465,-0.09097620964951555
20260331,5413,0.0035460453313113163,0.12860204636272377
20260401,5416,-0.004046029529059671,-0.008795717875338296
20260402,5420,0.021931774694584558,0.08025313312833018
20260403,5425,-0.009848182224572927,0.11779650376983816
20260407,5426,0.14388459053748046,0.2421655106792181
20260408,5433,-0.009723556076654203,0.03654839799468756
20260409,5437,-0.02818644948097247,-0.012670584765940011
20260410,5439,-0.08649341283868144,-0.06440408583991397
20260413,5440,-0.013974849143220598,-0.006636123647436987
20260414,5445,0.034154733428532424,0.1243340926423668
20260415,5445,0.036250593291797244,0.14256699209957677
20260416,5452,0.03020731181013346,0.04504260186008931
20260417,5456,-0.013687341578577027,-0.015448340375924314
20260420,5452,0.00533939373191803,0.04834519711583363
20260421,5456,0.035154017328690744,0.10697502885347937
20260422,5458,-0.04892874427713823,-0.01046574749347796
20260423,5459,-0.04006997184368871,-0.04605812933563846
20260424,5461,-0.0546787376682313,-0.07793935649505737
20260427,5462,-0.0750081874982894,-0.10378201871001473
20260428,5457,-0.005444933938988783,0.025520336147739263
20260429,5427,-0.0534363912898927,-0.024100224679681596
20260430,5427,0.02355387762312772,0.027548506045407088
20260506,5464,-0.10812136943694067,-0.14160654471689715
20260507,5470,-0.12668214576898976,-0.10081103267281126
20260508,5471,-0.08624213535152568,-0.009069019958686144
20260511,5471,-0.0428484182115599,-0.026587779138185677
20260512,5473,-0.043947562451270954,-0.003782110210030462
20260513,5477,-0.03746892059171842,0.03997804838139643
20260514,5477,-0.001316307915120835,0.01093982361339642
